seconds,sensor_0,sensor_1,actuator_0,target
33.8200,26.4040,26.1500,30.0000,"25.0"
33.8400,26.4040,26.1500,30.0000,"25.0"
33.8800,26.4040,26.1500,30.0000,"25.0"
33.9000,26.4300,26.1500,30.0000,"25.0"
33.9400,26.4040,26.1750,30.0000,"25.0"
33.9600,26.4040,26.1500,30.0000,"25.0"
34.0000,26.4040,26.1500,30.0000,"25.0"
34.0200,26.4040,26.1500,30.0000,"25.0"
34.0600,26.4040,26.1500,30.0000,"25.0"
34.0800,26.4040,26.1500,30.0000,"25.0"
34.1200,26.4300,26.1500,30.0000,"25.0"
34.1400,26.4040,26.1500,30.0000,"25.0"
34.1800,26.4040,26.1500,30.0000,"25.0"
34.2000,26.4040,26.1500,30.0000,"25.0"
34.2400,26.4040,26.1500,30.0000,"25.0"
34.2600,26.4040,26.1500,30.0000,"25.0"
34.3000,26.4300,26.1500,30.0000,"25.0"
34.3201,26.4040,26.1750,30.0000,"25.0"
34.3600,26.4040,26.1500,30.0000,"25.0"
34.3800,26.4040,26.1500,30.0000,"25.0"
34.4200,26.4040,26.1500,30.0000,"25.0"
34.4400,26.4040,26.1750,30.0000,"25.0"
34.4800,26.4300,26.1500,30.0000,"25.0"
34.5000,26.4040,26.1500,30.0000,"25.0"
34.5400,26.4300,26.1500,30.0000,"25.0"
34.5600,26.4300,26.1500,30.0000,"25.0"
34.6000,26.4300,26.1500,30.0000,"25.0"
34.6200,26.4300,26.1500,30.0000,"25.0"
34.6600,26.4040,26.1750,30.0000,"25.0"
34.6800,26.4300,26.1750,30.0000,"25.0"
34.7200,26.4040,26.1500,30.0000,"25.0"
34.7400,26.4300,26.1750,30.0000,"25.0"
34.7800,26.4300,26.1500,30.0000,"25.0"
34.8000,26.4040,26.1500,30.0000,"25.0"
34.8400,26.4300,26.1500,30.0000,"25.0"
34.8600,26.4040,26.1500,30.0000,"25.0"
34.9000,26.4550,26.1750,30.0000,"25.0"
34.9200,26.4040,26.1500,30.0000,"25.0"
34.9600,26.4040,26.1500,30.0000,"25.0"
34.9800,26.4300,26.1500,30.0000,"25.0"
35.0200,26.4300,26.1750,30.0000,"25.0"
35.0400,26.4300,26.1750,30.0000,"25.0"
35.0800,26.4040,26.1500,30.0000,"25.0"
