time,temp_a,temp_b
01:107.517,26.5,26.71
01:107.640,26.5,26.71
01:107.763,26.5,26.71
01:107.886,26.5,26.71
01:108.012,26.5,26.71
01:108.136,26.51,26.71
01:108.259,26.51,26.71
01:108.381,26.51,26.71
01:108.508,26.51,26.71
01:108.631,26.51,26.71
01:108.754,26.51,26.71
01:108.881,26.51,26.71
01:109.004,26.51,26.71
01:109.127,26.51,26.71
01:109.249,26.51,26.71
01:109.376,26.51,26.71
01:109.500,26.51,26.71
01:109.623,26.51,26.71
01:109.745,26.51,26.71
01:109.872,26.51,26.71
01:109.995,26.51,26.71
01:110.118,26.51,26.71
01:110.245,26.51,26.71
01:110.368,26.51,26.71
01:110.491,26.51,26.71
01:110.614,26.51,26.71
01:110.740,26.51,26.71
01:110.863,26.51,26.72
01:110.986,26.51,26.72
01:111.109,26.51,26.72
01:111.236,26.51,26.72
01:111.359,26.51,26.72
01:111.482,26.51,26.72
01:111.605,26.52,26.72
01:111.732,26.52,26.72
01:111.855,26.52,26.73
01:111.978,26.52,26.72
01:112.104,26.53,26.73
01:112.227,26.53,26.73
01:112.350,26.53,26.74
01:112.473,26.53,26.73
01:112.600,26.54,26.74
01:112.723,26.54,26.74
01:112.846,26.55,26.75
01:112.969,26.55,26.75
01:113.096,26.55,26.76
01:113.219,26.56,26.76
01:113.341,26.56,26.76
01:113.468,26.57,26.77
01:113.591,26.57,26.77
01:113.714,26.58,26.77
01:113.837,26.58,26.78
01:113.964,26.58,26.78
01:114.087,26.59,26.78
01:114.210,26.59,26.79
01:114.332,26.6,26.8
01:114.459,26.6,26.8
01:114.583,26.6,26.8
01:114.706,26.6,26.81
01:114.828,26.61,26.81
01:114.955,26.61,26.81
01:115.078,26.61,26.81
01:115.201,26.61,26.81
01:115.327,26.61,26.81
01:115.451,26.61,26.81
01:115.574,26.61,26.81
01:115.697,26.61,26.81
01:115.823,26.61,26.81
01:115.947,26.61,26.81
01:116.070,26.61,26.81
01:116.192,26.61,26.81
01:116.319,26.61,26.81
01:116.442,26.61,26.81
01:116.565,26.61,26.81
01:116.688,26.61,26.81
01:116.815,26.61,26.81
01:116.938,26.61,26.81
01:117.061,26.61,26.81
01:117.187,26.61,26.81
01:117.310,26.61,26.81
01:117.433,26.61,26.81
01:117.556,26.61,26.81
01:117.683,26.61,26.81
01:117.806,26.61,26.81
01:117.929,26.61,26.82
01:118.052,26.61,26.82
01:118.179,26.61,26.82
01:118.302,26.61,26.82
01:118.425,26.61,26.82
01:118.548,26.61,26.82
01:118.674,26.61,26.82
01:118.797,26.61,26.82
01:118.920,26.62,26.82
01:119.047,26.62,26.82
01:119.170,26.61,26.82
01:119.293,26.62,26.82
01:119.416,26.62,26.82
01:119.542,26.62,26.83
01:119.666,26.62,26.83
01:119.789,26.62,26.83
01:119.911,26.63,26.83
02:120.038,26.63,26.84
02:120.161,26.63,26.84
02:120.284,26.64,26.84
02:120.407,26.64,26.85
02:120.533,26.64,26.85
02:120.657,26.65,26.85
02:120.780,26.65,26.86
02:120.906,26.65,26.86
02:121.030,26.66,26.86
02:121.152,26.67,26.87
02:121.275,26.67,26.87
02:121.402,26.67,26.88
02:121.525,26.67,26.88
02:121.648,26.68,26.89
02:121.771,26.68,26.89
02:121.898,26.69,26.9
02:122.021,26.69,26.9
02:122.144,26.7,26.9
02:122.267,26.7,26.91
02:122.393,26.7,26.91
02:122.516,26.71,26.91
02:122.639,26.71,26.91
02:122.766,26.71,26.91
02:122.889,26.71,26.91
02:123.012,26.71,26.92
02:123.135,26.71,26.91
02:123.262,26.71,26.92
02:123.385,26.71,26.92
02:123.508,26.71,26.92
02:123.631,26.71,26.92
02:123.757,26.71,26.92
02:123.880,26.71,26.92
02:124.003,26.71,26.92
02:124.130,26.71,26.92
02:124.253,26.71,26.92
